Dep_Name,Pearson_Corr
"中国中投证券有限责任公司海口龙华路证券营业部,广发证券股份有限公司廊坊新开路营业部",0.2
"中信建投证券有限责任公司佛山南庄证券营业部,申银万国证券股份有限公司衢州县西街证券营业部",0.2
"国泰君安证券股份有限公司长春人民大街证券营业部,国泰君安证券股份有限公司长春卫星路证券营业部",0.2
"华泰证券股份有限公司南昌苏圃路证券营业部,首创证券有限责任公司北京雍和宫证券营业部",0.2
"光大证券股份有限公司广州天河北路证券营业部,光大证券股份有限公司广州林和西路证券营业部",0.2
"国信证券股份有限公司南昌八一大道证券营业部,国泰君安证券股份有限公司海口龙昆南路证券营业部",0.2
"安信证券股份有限公司佛山三水三兴路证券营业部,西藏同信证券股份有限公司深圳益田路证券营业部",0.2
"财通证券股份有限公司温州人民东路证券营业部,西部证券股份有限公司深圳深南大道证券营业部",0.2
"中信建投证券股份有限公司深圳福中路证券营业部,中国中投证券有限责任公司哈尔滨友谊路证券营业部",0.2
"海通证券股份有限公司深圳景田路证券营业部,山西证券股份有限公司深圳华富路证券营业部",0.2
"财富证券有限责任公司上海仙霞路证券营业部,海通证券股份有限公司大庆经六街营业部",0.2
"光大证券股份有限公司重庆李家沱证券营业部,国泰君安证券股份有限公司海口龙昆南路证券营业部",0.2
"西藏同信证券股份有限公司深圳益田路证券营业部,广发证券股份有限公司珠海翠前北路证券营业部",0.2
"中国国际金融有限公司长沙车站北路证券营业部,万和证券有限责任公司广州中山大道西证券营业部",0.2
"中国建银投资证券有限责任公司晋江迎宾路证券营业部,招商证券股份有限公司深圳龙岗证券营业部",0.2
"长江证券股份有限公司齐齐哈尔龙门街证券营业部,国泰君安证券股份有限公司太原并州北路营业部",0.2
"长江证券股份有限公司齐齐哈尔龙门街证券营业部,中国中投证券有限责任公司淮安淮海东路证券营业部",0.2
"长江证券股份有限公司福州东大路证券营业部,华泰联合证券有限责任公司深圳深南东路证券营业部",0.2
"长江证券股份有限公司福州东大路证券营业部,山西证券股份有限公司福州杨桥东路证券营业部",0.2
"长江证券股份有限公司福州东大路证券营业部,渤海证券股份有限公司天津云际道证券营业部",0.2
"华泰联合证券有限责任公司广州环市东路证券营业部,海通证券股份有限公司鸡西中心大街证券营业部",0.2
"广发证券股份有限公司黄石颐阳路证券营业部,申银万国证券股份有限公司衢州县西街证券营业部",0.2
"中国中投证券有限责任公司上海南京西路证券营业部,国泰君安证券股份有限公司重庆九尺坎证券营业部",0.2
"中国中投证券有限责任公司上海南京西路证券营业部,中原证券股份有限公司新乡人民路证券营业部",0.2
"南京证券股份有限公司南京热河路证券营业部,国泰君安证券股份有限公司常德武陵大道证券营业部",0.2
"上海证券有限责任公司南京西路证券营业部,华安证券有限责任公司阜阳颖河路证券营业部",0.2
"中航证券有限公司天津六纬路证券营业部,中原证券股份有限公司郑州经六路证券营业部",0.2
"中航证券有限公司天津六纬路证券营业部,齐鲁证券有限公司烟台环山路证券营业部",0.2
"浙商证券股份有限公司厦门文康路证券营业部,厦门证券有限公司福州五一北路证券营业部",0.2
"中国建银投资证券有限责任公司郑州纬五路证券营业部,中国建银投资证券有限责任公司天津芥园道证券营业部",0.2
"东兴证券股份有限公司长乐郑和路证券营业部,信达证券股份有限公司上海中华路证券营业部",0.2
"长江证券股份有限公司厦门鹭江道证券营业部,广发证券股份有限公司秦皇岛河北大街证券营业部",0.2
"长江证券股份有限公司厦门鹭江道证券营业部,广发证券股份有限公司江门天宁路证券营业部",0.2
"长江证券股份有限公司厦门鹭江道证券营业部,浙商证券股份有限公司北京朝阳门北大街证券营业部",0.2
"中信建投证券有限责任公司福州市东街证券营业部,东方证券股份有限公司上海飞虹路证券营业部",0.2
"山西证券股份有限公司晋中迎宾路证券营业部,国海证券股份有限公司深圳宝安裕安路证券营业部",0.2
"华泰证券股份有限公司沈阳光荣街证券营业部,招商证券股份有限公司兰州庆阳路证券营业部",0.2
"新时代证券有限责任公司信阳北京大街证券营业部,海通证券股份有限公司上海桂林路证券营业部",0.2
"齐鲁证券有限公司芜湖镜湖路证券营业部,财通证券有限责任公司湖州红旗路证券营业部",0.2
"中国银河证券股份有限公司上海上南路证券营业部,安信证券股份有限公司梅州丰顺证券营业部",0.2
"华泰联合证券有限责任公司深圳深南东路证券营业部,华泰证券股份有限公司北京和平里证券营业部",0.2
"华泰联合证券有限责任公司深圳深南东路证券营业部,中信建投证券有限责任公司泰州市青年北路证券营业部",0.2
"东北证券股份有限公司上海洪山路证券营业部,浙商证券股份有限公司玉环长兴路证券营业部",0.2
"国都证券有限责任公司天津永安道证券营业部,中国中投证券有限责任公司常州晋陵中路证券营业部",0.2
"厦门证券有限公司福州五一北路证券营业部,广发华福证券有限责任公司福州广达路证券营业部",0.2
"国海证券股份有限公司福州五四路证券营业部,海通证券股份有限公司上海真华路证券营业部",0.2
"国海证券股份有限公司福州五四路证券营业部,西部证券股份有限公司西安高新技术产业开发区证券营业部",0.2
"财达证券有限责任公司佳木斯西林路证券营业部,中信建投证券股份有限公司淄博市中心路证券营业部",0.2
"财达证券有限责任公司佳木斯西林路证券营业部,金元证券股份有限公司长沙人民东路证券营业部",0.2
"东北证券股份有限公司长春同志街第三证券营业部,方正证券股份有限公司三门中海路证券营业部",0.2
"山西证券股份有限公司福州杨桥东路证券营业部,上海证券有限责任公司定西路证券营业部",0.2
"中国银河证券股份有限公司南京江东中路证券营业部,大通证券股份有限公司大连车家村证券营业部",0.2
"中国建银投资证券有限责任公司北京朝阳路证券营业部,华安证券有限责任公司大连会展路证券营业部",0.2
"东方证券股份有限公司天津西康路证券营业部,广发华福证券有限责任公司福州达道路证券营业部",0.2
"中国银河证券股份有限公司南京汉中路证券营业部,方正证券股份有限公司衡阳衡西大市场证券营业部",0.2
"中信建投证券股份有限公司赣州市文清路证券营业部,齐鲁证券有限公司青岛正阳路证券营业部",0.2
"中信建投证券股份有限公司赣州市文清路证券营业部,国元证券股份有限公司芜湖黄山西路证券营业部",0.2
"中信建投证券股份有限公司上海世纪大道证券营业部,广发证券股份有限公司锦州解放路证券营业部",0.222222222222
"中国银河证券股份有限公司昆明东风西路证券营业部,世纪证券有限责任公司南昌北京西路证券营业部",0.2
"中国银河证券股份有限公司昆明东风西路证券营业部,方正证券股份有限公司三门中海路证券营业部",0.2
"首创证券有限责任公司北京雍和宫证券营业部,国泰君安证券股份有限公司唐山建华西道证券营业部",0.2
"海通证券股份有限公司广州宝岗大道证券营业部,申银万国证券股份有限公司广东广州江南大道营业部",0.2
"海通证券股份有限公司广州宝岗大道证券营业部,中国民族证券有限责任公司长沙车站北路证券营业部",0.2
"国泰君安证券股份有限公司太原并州北路营业部,中国中投证券有限责任公司淮安淮海东路证券营业部",0.2
"首创证券有限责任公司上海斜土路证券营业部,安信证券股份有限公司阳江安宁路证券营业部",0.2
"东吴证券股份有限公司东莞鸿福路证券营业部,国金证券股份有限公司客户资产管理部",0.2
"东吴证券股份有限公司东莞鸿福路证券营业部,国海证券股份有限公司南宁滨湖路证券营业部",0.2
"东吴证券股份有限公司东莞鸿福路证券营业部,宏源证券股份有限公司中山中山四路证券营业部",0.2
"华泰证券股份有限公司兰州酒泉路证券营业部,中信建投证券股份有限公司石家庄建设南大街证券营业部",0.2
"国联证券股份有限公司上海漕宝路证券营业部,世纪证券有限责任公司长沙韶山北路证券营业部",0.2
"海通证券股份有限公司遵义中华南路营业部,齐鲁证券有限公司青岛正阳路证券营业部",0.2
"海通证券股份有限公司遵义中华南路营业部,广发证券股份有限公司葫芦岛龙湾大街证券营业部",0.2
"长城证券有限责任公司昆明西昌路证券营业部,华鑫证券有限责任公司上海惠南镇人民东路证券营业部",0.2
"万和证券有限责任公司三亚解放二路证券营业部,爱建证券有限责任公司深圳深南中路证券营业部",0.2
"财通证券股份有限公司嘉兴禾兴南路证券营业部,华福证券有限责任公司石狮福辉路证券营业部",0.2
"西南证券股份有限公司西宁西大街证券营业部,东吴证券股份有限公司张家港金港镇证券营业部",0.2
"华安证券有限责任公司淮北古城路证券营业部,海通证券股份有限公司淮北相山路证券营业部",0.2
"华安证券有限责任公司淮北古城路证券营业部,中国银河证券股份有限公司临汾解放东路证券营业部",0.2
"中信证券股份有限公司镇江电力路证券营业部,广发证券股份有限公司廊坊新开路营业部",0.2
"中信证券股份有限公司镇江电力路证券营业部,中国银河证券股份有限公司大连黄河路证券营业部",0.2
"中信建投证券股份有限公司北京青年路证券营业部,海通证券股份有限公司淮北相山路证券营业部",0.2
"广发证券股份有限公司汕头海滨路证券营业部,齐鲁证券有限公司枣庄青檀中路证券营业部",0.222222222222
"中信证券（浙江）有限责任公司浦江恒昌财富广场证券营业部,万和证券有限责任公司广州中山大道西证券营业部",0.2
"中信金通证券有限责任公司杭州文晖路证券营业部,财通证券有限责任公司台州解放南路证券营业部",0.2
"方正证券股份有限公司冷水江锑都中路证券营业部,湘财证券有限责任公司娄底春园路证券营业部",0.3
"安信证券股份有限公司招远河西路证券营业部,华泰证券股份有限公司南京分公司",0.2
"西部证券股份有限公司深圳深南大道证券营业部,国海证券股份有限公司深圳宝安裕安路证券营业部",0.2
"西部证券股份有限公司深圳深南大道证券营业部,中银国际证券有限责任公司客户资产管理部",0.2
