,LEARNING_RATE,THRESHOLD,RETURN,TRADE_COUNT
532,18.0,0.2,0.92888,264
533,18.0,0.3,0.99091,107
534,18.0,0.4,0.94132,51
535,18.0,0.5,1.03845,19
536,18.0,0.6,0.92752,5
537,18.0,0.7,1.0,0
538,18.0,0.8,1.0,0
539,18.0,0.9,1.0,0
540,20.0,0.1,0.9981,168
541,20.0,0.2,0.89916,177
542,20.0,0.3,0.96542,148
543,20.0,0.4,0.96518,79
544,20.0,0.5,0.98768,29
545,20.0,0.6,1.03394,9
546,20.0,0.7,1.06187,1
547,20.0,0.8,1.0,0
548,20.0,0.9,1.0,0
549,22.0,0.1,0.96444,142
550,22.0,0.2,0.96499,161
551,22.0,0.3,0.96346,152
552,22.0,0.4,0.99732,83
553,22.0,0.5,0.9961,39
554,22.0,0.6,1.00273,7
555,22.0,0.7,1.0068,1
556,22.0,0.8,0.89607,1
557,22.0,0.9,1.0,0
558,24.0,0.1,0.96838,212
559,24.0,0.2,0.98347,252
560,24.0,0.3,0.93875,145
561,24.0,0.4,0.95527,65
562,24.0,0.5,0.99278,21
563,24.0,0.6,0.99601,8
564,24.0,0.7,1.0,0
565,24.0,0.8,1.0,0
566,24.0,0.9,1.0,0
567,26.0,0.1,0.94028,132
568,26.0,0.2,0.92021,143
569,26.0,0.3,0.9353,149
570,26.0,0.4,1.00849,87
571,26.0,0.5,0.99876,41
572,26.0,0.6,0.98154,9
573,26.0,0.7,0.92939,1
574,26.0,0.8,1.0,0
575,26.0,0.9,1.0,0
576,28.0,0.1,0.913,148
577,28.0,0.2,0.96853,175
578,28.0,0.3,0.95716,186
579,28.0,0.4,0.98809,117
580,28.0,0.5,0.97692,51
581,28.0,0.6,0.98787,25
582,28.0,0.7,1.0017,2
583,28.0,0.8,1.0,0
584,28.0,0.9,1.0,0
585,30.0,0.1,0.93982,154
586,30.0,0.2,0.93551,212
587,30.0,0.3,0.94768,185
588,30.0,0.4,0.97368,97
589,30.0,0.5,0.98717,53
590,30.0,0.6,1.00819,21
591,30.0,0.7,1.03897,9
592,30.0,0.8,1.0,0
593,30.0,0.9,1.0,0
