,accumulate return
722,-0.09465
723,-0.11402
724,-0.08655
725,-0.1071
726,-0.08911
727,-0.10666
728,-0.08088
729,-0.08927
730,-0.07611
731,-0.10199
732,-0.09311
733,-0.11475
734,-0.08685
735,-0.11212
736,-0.10574
737,-0.07789
738,-0.09847
739,-0.10357
740,-0.10341
741,-0.10283
742,-0.09361
743,-0.09449
744,-0.11775
745,-0.10774
746,-0.10812
747,-0.09348
748,-0.06452
749,-0.08492
750,-0.09996
751,-0.09728
752,-0.11486
753,-0.09218
754,-0.0848
755,-0.11938
756,-0.1086
757,-0.08859
758,-0.09932
759,-0.0592
760,-0.10405
761,-0.11659
762,-0.10901
763,-0.12248
764,-0.06915
765,-0.11302
766,-0.11376
767,-0.08102
768,-0.08379
769,-0.1034
770,-0.07791
771,-0.08763
772,-0.1099
773,-0.08571
774,-0.09808
775,-0.0855
776,-0.08613
777,-0.09569
778,-0.10304
779,-0.06398
780,-0.08618
781,-0.11498
782,-0.08816
783,-0.11535
784,-0.10816
785,-0.08754
786,-0.09207
787,-0.09701
788,-0.10181
789,-0.11311
790,-0.09309
791,-0.06038
792,-0.12506
793,-0.08778
794,-0.09546
795,-0.07356
796,-0.0791
797,-0.10801
798,-0.10546
799,-0.09194
800,-0.10215
801,-0.08082
802,-0.10021
803,-0.11608
804,-0.09093
805,-0.09213
806,-0.12338
807,-0.10992
808,-0.09451
809,-0.09256
810,-0.08447
811,-0.06057
812,-0.11129
813,-0.0887
814,-0.10313
815,-0.11196
816,-0.11317
817,-0.08291
818,-0.08891
819,-0.1013
820,-0.08371
821,-0.10312
822,-0.10449
823,-0.10141
824,-0.09778
825,-0.09394
826,-0.09652
827,-0.10557
828,-0.07304
829,-0.10932
830,-0.08468
831,-0.07889
832,-0.07395
833,-0.08184
834,-0.0907
835,-0.10684
836,-0.08643
837,-0.08757
838,-0.07937
839,-0.07544
840,-0.10614
841,-0.09403
842,-0.10663
843,-0.12923
844,-0.09714
845,-0.09263
846,-0.09095
847,-0.08832
848,-0.07621
849,-0.09488
850,-0.10049
851,-0.1129
852,-0.09381
853,-0.09939
854,-0.0873
855,-0.10202
856,-0.09113
857,-0.08658
858,-0.0731
859,-0.09707
860,-0.09372
861,-0.104
862,-0.09455
863,-0.11168
864,-0.08804
865,-0.07651
866,-0.08686
867,-0.11075
868,-0.08965
869,-0.08678
870,-0.08479
871,-0.10814
872,-0.08562
873,-0.07247
874,-0.10183
875,-0.09843
876,-0.0889
877,-0.1059
878,-0.09195
879,-0.0835
880,-0.0581
881,-0.07236
882,-0.10782
883,-0.10049
884,-0.11065
885,-0.08098
886,-0.09421
887,-0.08496
888,-0.07245
889,-0.10961
890,-0.11861
891,-0.11075
892,-0.09511
893,-0.08144
894,-0.09342
895,-0.08149
896,-0.10082
897,-0.08804
898,-0.1072
899,-0.09646
900,-0.07445
901,-0.11502
902,-0.09565
903,-0.1148
904,-0.10032
905,-0.08791
906,-0.08297
907,-0.09338
908,-0.08553
909,-0.10339
910,-0.08001
911,-0.09108
912,-0.09132
913,-0.07456
914,-0.09413
915,-0.10675
916,-0.09302
917,-0.08412
918,-0.07377
919,-0.0865
920,-0.08958
921,-0.0782
922,-0.08572
923,-0.09891
924,-0.06652
925,-0.07402
926,-0.07525
927,-0.08963
928,-0.09088
929,-0.10838
930,-0.08139
931,-0.09766
932,-0.09735
933,-0.09292
934,-0.1111
935,-0.10394
936,-0.09615
937,-0.0822
938,-0.09076
939,-0.08491
940,-0.0857
941,-0.09627
942,-0.07367
943,-0.09186
944,-0.09912
945,-0.1192
946,-0.11549
947,-0.07955
948,-0.10046
949,-0.06595
950,-0.08563
951,-0.08654
952,-0.09316
953,-0.07747
954,-0.0841
955,-0.11923
956,-0.07539
957,-0.11808
958,-0.08214
959,-0.1052
960,-0.09612
961,-0.06677
962,-0.07302
963,-0.11678
964,-0.08111
965,-0.06408
966,-0.08607
967,-0.09789
968,-0.10911
969,-0.08244
970,-0.08804
971,-0.12367
972,-0.07163
973,-0.11545
974,-0.09022
975,-0.1019
976,-0.10057
977,-0.08974
978,-0.08816
979,-0.09038
980,-0.10332
981,-0.08197
982,-0.0874
983,-0.09675
984,-0.09129
985,-0.0851
986,-0.09193
987,-0.09527
988,-0.1014
989,-0.1056
990,-0.1016
991,-0.08499
992,-0.08704
993,-0.08173
994,-0.07956
995,-0.10725
996,-0.09214
997,-0.10055
998,-0.08869
999,-0.10614
