INFO:root:Time start : 2016-05-16-08:56:37
INFO:root:accumulate return : 0.03455
INFO:root:accumulate return : -0.00096
INFO:root:accumulate return : 0.00688
INFO:root:accumulate return : -0.03644
INFO:root:accumulate return : 0.01498
INFO:root:accumulate return : 0.04499
INFO:root:accumulate return : 0.000869999999996
INFO:root:accumulate return : 0.01423
INFO:root:accumulate return : 0.01566
INFO:root:accumulate return : -0.1032
INFO:root:accumulate return : 0.01177
INFO:root:accumulate return : 0.01586
INFO:root:accumulate return : 0.01725
INFO:root:accumulate return : 0.02127
INFO:root:accumulate return : -0.00238
INFO:root:accumulate return : 0.04898
INFO:root:accumulate return : -0.00270000000001
INFO:root:accumulate return : 0.00447
INFO:root:accumulate return : 0.01492
INFO:root:accumulate return : 0.00476
INFO:root:accumulate return : 0.02168
INFO:root:accumulate return : -0.02102
INFO:root:accumulate return : -0.00384
INFO:root:accumulate return : 0.03747
INFO:root:accumulate return : 0.00137
INFO:root:accumulate return : 0.05009
INFO:root:accumulate return : -0.00789
INFO:root:accumulate return : 0.01394
INFO:root:accumulate return : -0.00352
INFO:root:accumulate return : 0.03661
INFO:root:accumulate return : -0.00191000000001
INFO:root:accumulate return : 0.0604
INFO:root:accumulate return : 0.01403
INFO:root:accumulate return : -0.03479
INFO:root:accumulate return : 0.02333
INFO:root:accumulate return : 0.04942
INFO:root:accumulate return : -0.01124
INFO:root:accumulate return : -0.01314
INFO:root:accumulate return : 0.0181
INFO:root:accumulate return : -0.00787
INFO:root:accumulate return : -0.01904
INFO:root:accumulate return : 0.0166
INFO:root:accumulate return : 0.04444
INFO:root:accumulate return : -0.00314000000001
INFO:root:accumulate return : 0.01079
INFO:root:accumulate return : 0.01013
INFO:root:accumulate return : -0.00364
INFO:root:accumulate return : -0.00293
INFO:root:accumulate return : -0.00645
INFO:root:accumulate return : -0.0161
INFO:root:accumulate return : 0.00798
INFO:root:accumulate return : 0.04718
INFO:root:accumulate return : 0.03399
INFO:root:accumulate return : 0.0615
INFO:root:accumulate return : 0.02332
INFO:root:accumulate return : 0.03883
INFO:root:accumulate return : -0.0138
INFO:root:accumulate return : 0.00705
INFO:root:accumulate return : 0.00908
INFO:root:accumulate return : -0.01028
INFO:root:accumulate return : 0.02695
INFO:root:accumulate return : 0.0356
INFO:root:accumulate return : 0.00899
INFO:root:accumulate return : 0.02503
INFO:root:accumulate return : 0.02056
INFO:root:accumulate return : 0.00608
INFO:root:accumulate return : 0.00467
INFO:root:accumulate return : 0.04403
INFO:root:accumulate return : 0.01492
INFO:root:accumulate return : -0.01048
INFO:root:accumulate return : 0.03125
INFO:root:accumulate return : 0.03083
INFO:root:accumulate return : 0.00205
INFO:root:accumulate return : 0.05094
INFO:root:accumulate return : 0.01817
INFO:root:accumulate return : -0.01595
INFO:root:accumulate return : 0.02093
INFO:root:accumulate return : 0.00585
INFO:root:accumulate return : 0.02114
INFO:root:accumulate return : 0.02469
INFO:root:accumulate return : 0.02649
INFO:root:accumulate return : -0.01485
INFO:root:accumulate return : -0.00597000000001
INFO:root:accumulate return : -0.03765
INFO:root:accumulate return : 0.03228
INFO:root:accumulate return : -0.01162
INFO:root:accumulate return : 0.04491
INFO:root:accumulate return : 0.04053
INFO:root:accumulate return : 0.00917
INFO:root:accumulate return : 0.07231
INFO:root:accumulate return : 0.04685
INFO:root:accumulate return : 0.0032
INFO:root:accumulate return : 0.05351
INFO:root:accumulate return : 0.02358
INFO:root:accumulate return : -0.000560000000003
INFO:root:accumulate return : 0.00774
INFO:root:accumulate return : 0.05109
INFO:root:accumulate return : 0.00087
INFO:root:accumulate return : 3.99999999981e-05
INFO:root:accumulate return : 0.0405
INFO:root:accumulate return : 0.05543
INFO:root:accumulate return : -0.01721
INFO:root:accumulate return : 0.0245
INFO:root:accumulate return : 0.05588
INFO:root:accumulate return : 0.01106
INFO:root:accumulate return : 0.04253
INFO:root:accumulate return : -0.000500000000004
INFO:root:accumulate return : 0.03964
INFO:root:accumulate return : 0.02191
INFO:root:accumulate return : 0.0199
INFO:root:accumulate return : 0.04237
INFO:root:accumulate return : -0.00957
INFO:root:accumulate return : -0.00341
INFO:root:accumulate return : 0.01294
