,accumulate return
1106,0.01381
1107,0.01375
1108,0.02981
1109,0.02887
1110,0.05376
1111,0.03746
1112,0.00674999999999
1113,0.04423
1114,0.07301
1115,0.04537
1116,-0.04066
1117,0.03295
1118,0.01866
1119,0.02121
1120,0.05778
1121,0.0533
1122,0.03879
1123,0.03859
1124,-0.022
1125,0.00626
1126,0.05182
1127,0.03819
1128,0.04838
1129,0.04679
1130,0.03961
1131,0.03232
1132,0.02132
1133,0.00965
1134,0.03312
1135,0.04731
1136,-0.01047
1137,-0.00485
1138,0.0415
1139,0.01558
1140,0.02817
1141,0.04133
1142,0.02682
1143,0.00304999999999
1144,0.03489
1145,0.03594
1146,0.06273
1147,0.02884
1148,0.04408
1149,-0.01834
1150,0.00549
1151,0.03711
1152,-0.00356
1153,0.02452
1154,0.04965
1155,0.02353
1156,0.03949
1157,0.03814
1158,0.03869
1159,0.05805
1160,0.0192
1161,0.03473
1162,0.04897
1163,0.02254
1164,0.03016
1165,0.05421
1166,0.0819
1167,0.06129
1168,0.00998
1169,0.00769
1170,0.05354
1171,0.04515
1172,0.044
1173,0.02494
1174,0.00494
1175,0.06288
1176,0.02247
1177,0.05995
1178,0.04159
1179,0.04855
1180,0.03422
1181,0.05298
1182,0.01423
1183,-0.00529
1184,0.03107
1185,0.02269
1186,0.04964
1187,0.02611
1188,0.05476
1189,0.0469
1190,0.01219
1191,-0.00186
1192,0.05069
1193,0.06768
1194,0.02965
1195,0.06278
1196,0.05029
1197,-0.01227
1198,-0.01736
1199,0.05084
1200,-0.00689
1201,0.05276
1202,0.03761
1203,0.0652
1204,-0.01767
1205,0.02776
1206,0.03763
1207,-0.00232
1208,0.07845
1209,0.01052
1210,0.01496
1211,0.02085
1212,0.00432
1213,0.03608
1214,0.03285
1215,0.00692
1216,0.04581
1217,0.04437
1218,0.04744
1219,-0.02142
1220,0.06575
1221,0.01357
1222,0.05214
1223,0.02895
1224,-0.00952
1225,0.05163
1226,0.04853
1227,0.03964
1228,0.01577
1229,0.000969999999998
1230,0.02797
1231,0.00108
1232,0.00528
1233,0.03493
1234,0.06427
1235,0.04241
1236,0.06563
1237,0.02437
1238,0.03249
1239,0.03608
1240,0.08185
1241,0.03933
1242,0.03944
1243,0.05022
1244,-0.01054
1245,-0.00588
1246,0.07253
1247,0.05502
1248,0.05001
1249,0.02995
1250,0.05105
1251,0.03908
1252,0.03182
1253,-0.02756
1254,0.04331
1255,0.02149
1256,0.05401
1257,0.01591
1258,0.02503
1259,0.05168
