,accumulate return
756,0.1228
757,0.09457
758,0.07486
759,0.15346
760,0.07869
761,0.09559
762,0.11606
763,0.10627
764,0.08092
765,0.10545
766,0.11541
767,0.0803
768,0.12851
769,0.12906
770,0.11834
771,0.10884
772,0.04699
773,0.13108
774,0.08729
775,0.06655
776,0.13371
777,0.14461
778,0.10661
779,0.084
780,0.1628
781,0.11916
782,0.08118
783,0.07792
784,0.08769
785,0.08677
786,0.1341
787,0.14501
788,0.08804
789,0.04886
790,0.03969
791,0.05195
792,0.16793
793,0.08499
794,0.13676
795,0.17874
796,0.12201
797,0.11617
798,0.09325
799,0.03928
800,0.06055
801,0.08876
802,0.08142
803,0.07545
804,0.09983
805,0.17486
806,0.19604
807,0.15255
808,0.13301
809,0.14112
810,0.08147
811,0.07103
812,0.13529
813,0.04577
814,0.08377
815,0.13258
816,0.05343
817,0.12656
818,0.08467
819,0.14224
820,0.16176
821,0.1197
822,0.13094
823,0.12404
824,0.05194
825,0.08232
826,0.03225
827,0.13103
828,0.06551
829,0.17684
830,0.05559
831,0.09019
832,0.11239
833,0.14965
834,0.07342
835,0.10526
836,0.09236
837,0.10209
838,0.10955
839,0.07578
840,0.11804
841,0.09905
842,0.03762
843,0.12619
844,0.09488
845,0.13331
846,0.09887
847,0.10989
848,0.1083
849,0.06806
850,0.14229
851,0.04368
852,0.07124
853,0.07453
854,0.12051
855,0.05603
856,0.11242
857,0.10901
858,0.10604
859,0.01276
860,0.1383
861,0.05941
862,0.06917
863,0.07573
864,0.0357
865,0.1084
866,0.07546
867,0.13744
868,0.1037
869,0.11946
870,0.12747
871,0.06718
872,0.07757
873,0.1401
874,0.0658
875,0.14642
876,0.04847
877,0.18573
878,0.08034
879,0.11006
880,0.13237
881,0.08094
882,0.06214
883,0.14383
884,0.0912
885,0.09636
886,0.09866
887,0.1245
888,0.09971
889,0.03821
890,0.13795
891,0.11128
892,0.04647
893,0.12957
894,0.13404
895,0.03138
896,0.12017
897,0.05538
898,0.09396
899,0.16168
900,0.13391
901,0.02631
902,0.08849
903,0.07091
904,0.10541
905,0.07136
906,0.15503
907,0.12364
908,0.0547
909,0.17224
910,0.09419
911,0.12671
912,0.10825
913,0.06963
914,0.05245
915,0.12425
916,0.1179
917,0.01269
918,0.05726
919,0.05515
920,0.09654
921,0.11585
922,0.10833
923,0.06391
924,0.11311
925,0.15832
926,0.11583
927,0.10905
928,0.12766
929,0.11599
930,0.11192
931,0.0935
932,0.07575
933,0.09502
934,0.09128
935,0.07715
936,0.12814
937,0.12087
938,0.07882
939,0.0776
940,0.08973
941,0.06042
942,0.1365
943,0.0926
944,0.14234
945,0.04501
946,0.109
947,0.12017
948,0.13606
949,0.11422
950,0.08365
951,0.11843
952,0.12239
953,0.08981
954,0.11846
955,0.0985
956,0.13434
957,0.10753
958,0.09522
959,0.10155
960,0.07919
961,0.12615
962,0.04942
963,0.10614
964,0.11933
965,0.09085
966,0.12542
967,0.10279
968,0.09247
969,0.10576
970,0.14612
971,0.13608
972,0.09687
973,0.12849
974,0.12541
975,0.13964
976,0.11939
977,0.10813
978,0.13544
979,0.1279
980,0.10818
981,0.13497
982,0.14242
983,0.14137
984,0.14908
985,0.11071
986,0.12758
987,0.09502
988,0.04877
989,0.11087
990,0.07362
991,0.14004
992,0.14924
993,0.04478
994,0.13095
995,0.0631
996,0.11247
997,0.09515
998,0.11633
999,0.1279
1000,0.10446
1001,0.13397
1002,0.13275
1003,0.07998
1004,0.1294
1005,0.09698
1006,0.16159
1007,0.11739
1008,0.14018
1009,0.10511
1010,0.13503
1011,0.11406
1012,0.15625
1013,0.05974
1014,0.1084
1015,0.09509
1016,0.11634
1017,0.13545
1018,0.13444
1019,0.06471
1020,0.09375
1021,0.14676
1022,0.11932
1023,0.0896
1024,0.06398
1025,0.0841
1026,0.07426
1027,0.16011
1028,0.12317
1029,0.14488
1030,0.12891
1031,0.0719
1032,0.12731
1033,0.14935
1034,0.09932
1035,0.08544
1036,0.10601
1037,0.14272
1038,0.10446
1039,0.13612
1040,0.0419
1041,0.15714
1042,0.13899
1043,0.1587
1044,0.03654
1045,0.12602
1046,0.16195
1047,0.11415
1048,0.12786
1049,0.13661
1050,0.06745
1051,0.11675
1052,0.11673
1053,0.11719
1054,0.09674
1055,0.07947
1056,0.04345
1057,0.09604
1058,0.11567
1059,0.15147
1060,0.12848
1061,0.08279
1062,0.05772
1063,0.11934
1064,0.10466
1065,0.08028
1066,0.14307
1067,0.09517
1068,0.10436
1069,0.05913
1070,0.14055
1071,0.13189
1072,0.09695
1073,0.17662
1074,0.12757
1075,0.0861
1076,0.04618
1077,0.09231
1078,0.11021
1079,0.09819
1080,0.05985
1081,0.14542
1082,0.1787
1083,0.14046
1084,0.11838
1085,0.09535
1086,0.11594
1087,0.12957
1088,0.1174
1089,0.05018
1090,0.13834
1091,0.13611
1092,0.17314
1093,0.13544
1094,0.17028
1095,0.14354
1096,0.09879
1097,0.21578
1098,0.18849
1099,0.10966
1100,0.08867
1101,0.08183
1102,0.06441
1103,0.14785
1104,0.09431
1105,0.05264
1106,0.15394
1107,0.08636
1108,0.16667
1109,0.16447
1110,0.17658
1111,0.17669
1112,0.11429
1113,0.10701
1114,0.09666
1115,0.14141
1116,0.14911
1117,0.10038
1118,0.07847
1119,0.14302
1120,0.14022
1121,0.11606
1122,0.0998
1123,0.08445
1124,0.10692
1125,0.12556
1126,0.10481
1127,0.13038
1128,0.14262
1129,0.14207
1130,0.15491
1131,0.11621
1132,0.10568
1133,0.08921
1134,0.02828
1135,0.12598
1136,0.08433
1137,0.13243
1138,0.13486
1139,0.11159
1140,0.06783
1141,0.1679
1142,0.04104
1143,0.16218
1144,0.07154
1145,0.15898
1146,0.13484
1147,0.12133
1148,0.10541
1149,0.07413
1150,0.15215
1151,0.11362
1152,0.04895
1153,0.10781
1154,0.09504
1155,0.13936
1156,0.12844
1157,0.0878
1158,0.1482
1159,0.07675
1160,0.08359
1161,0.11826
1162,0.13749
1163,0.10238
1164,0.14012
1165,0.10635
1166,0.07965
1167,0.12909
1168,0.07754
1169,0.12207
1170,0.12185
1171,0.12657
1172,0.13667
1173,0.0683
1174,0.06417
1175,0.15894
1176,0.20243
1177,0.08343
1178,0.06612
1179,0.11259
1180,0.12522
1181,0.11431
1182,0.10205
1183,0.18648
1184,0.13687
1185,0.1142
1186,0.10268
1187,0.16741
1188,0.13103
1189,0.11568
1190,0.14179
1191,0.12813
1192,0.15171
1193,0.12638
1194,0.11378
1195,0.18731
1196,0.11174
1197,0.12563
1198,0.19376
1199,0.12626
1200,0.10793
1201,0.08531
1202,0.18066
1203,0.09669
1204,0.12828
1205,0.14292
1206,0.18982
1207,0.08383
1208,0.12902
1209,0.17212
1210,0.10559
1211,0.05467
1212,0.11079
1213,0.05755
1214,0.14607
1215,0.12066
1216,0.1447
1217,0.07925
1218,0.14489
1219,0.1074
1220,0.1066
1221,0.15442
1222,0.1336
1223,0.14287
1224,0.1377
1225,0.17886
1226,0.13729
1227,0.15162
1228,0.20182
1229,0.07249
1230,0.16697
1231,0.107
1232,0.08541
1233,0.0108
1234,0.14078
1235,0.10466
1236,0.14534
1237,0.03909
1238,0.11634
1239,0.09752
1240,0.13405
1241,0.08124
1242,0.06823
1243,0.09458
1244,0.11485
1245,0.10447
1246,0.10207
1247,0.1601
1248,0.12254
1249,0.01242
1250,0.0856
1251,0.12312
1252,0.05764
1253,0.15021
1254,0.12603
1255,0.12222
1256,0.11672
1257,0.10338
1258,0.12313
1259,0.12821
1260,0.12029
1261,0.03643
1262,0.15615
1263,0.12874
1264,0.12836
1265,0.15707
1266,0.09766
1267,0.19612
1268,0.13058
1269,0.15816
1270,0.06997
1271,0.08133
1272,0.15893
1273,0.17602
1274,0.16118
1275,0.06388
1276,0.16084
1277,0.12489
1278,0.20086
1279,0.09595
1280,0.13914
1281,0.14158
1282,0.12389
1283,0.05184
1284,0.13608
1285,0.12228
1286,0.10505
1287,0.11273
1288,0.14499
1289,0.08852
1290,0.03204
1291,0.10162
1292,0.09095
1293,0.13983
1294,0.14509
1295,0.16157
1296,0.15188
1297,0.12125
1298,0.09312
1299,0.17267
1300,0.09817
1301,0.10916
1302,0.11824
1303,0.09546
1304,0.13568
1305,0.11502
1306,0.10708
1307,0.14713
1308,0.13806
1309,0.12577
1310,0.10444
1311,0.15709
1312,0.15408
1313,0.18664
1314,0.11044
1315,0.08255
1316,0.12552
1317,0.05305
1318,0.15225
1319,0.0989
1320,0.04941
1321,0.10306
1322,0.16946
1323,0.11341
1324,0.11219
1325,0.14101
1326,0.15952
1327,0.06982
1328,0.11116
1329,0.17182
1330,0.0451
1331,0.136
1332,0.10466
1333,0.14957
1334,0.16389
1335,0.12528
1336,0.13343
1337,0.0862
1338,0.15335
1339,0.18642
1340,0.15561
1341,0.12878
1342,0.16577
1343,0.15972
1344,0.14283
1345,0.08535
1346,0.15405
1347,0.13488
1348,0.17204
1349,0.16929
1350,0.18196
1351,0.10307
1352,0.13905
1353,0.12426
1354,0.09342
1355,0.1017
1356,0.12932
1357,0.12311
1358,0.16
1359,0.11866
1360,0.15105
1361,0.01826
1362,0.13876
1363,0.14858
1364,0.18791
1365,0.18864
1366,0.18579
1367,0.10111
1368,0.13027
1369,0.15316
1370,0.16661
1371,0.11236
1372,0.14084
1373,0.20221
1374,0.15676
1375,0.15144
1376,0.12007
1377,0.18099
1378,0.20267
1379,0.17712
1380,0.1159
1381,0.10967
1382,0.14275
1383,0.15963
1384,0.15089
1385,0.05675
1386,0.19662
1387,0.19785
1388,0.1172
1389,0.11049
1390,0.17601
1391,0.09616
1392,0.15597
1393,0.07921
1394,0.11392
1395,0.17231
1396,0.1428
1397,0.10916
1398,0.13749
1399,0.18583
1400,0.14826
1401,0.12054
1402,0.14329
1403,0.12918
1404,0.1743
1405,0.1268
1406,0.10971
1407,0.16594
1408,0.13327
1409,0.12036
1410,0.15226
1411,0.17307
1412,0.11221
1413,0.1717
1414,0.19131
1415,0.1701
1416,0.16146
1417,0.12119
1418,0.13468
1419,0.11209
1420,0.20153
1421,0.10229
1422,0.10235
1423,0.13984
1424,0.14758
1425,0.0992
1426,0.15599
1427,0.08139
1428,0.1041
1429,0.07232
1430,0.08438
1431,0.17353
1432,0.12717
1433,0.14264
1434,0.22673
1435,0.1907
1436,0.19555
1437,0.13448
1438,0.067
1439,0.22578
1440,0.17688
1441,0.12606
1442,0.13856
1443,0.1416
1444,0.12444
1445,0.08554
1446,0.13551
1447,0.07625
1448,0.09475
1449,0.15782
1450,0.18524
1451,0.13905
1452,0.10071
1453,0.04614
1454,0.19139
1455,0.10256
1456,0.15264
1457,0.12237
1458,0.10619
1459,0.10264
1460,0.08639
1461,0.05415
1462,0.141
1463,0.09388
1464,0.208
1465,0.13175
1466,0.16005
1467,0.06079
1468,0.09012
1469,0.13258
1470,0.11902
1471,0.09853
1472,0.1374
1473,0.20871
1474,0.10856
1475,0.13443
1476,0.17499
1477,0.18509
1478,0.12821
1479,0.17861
1480,0.17952
1481,0.15362
1482,0.1203
1483,0.16939
1484,0.17007
1485,0.16525
1486,0.14177
1487,0.13705
1488,0.2069
1489,0.11336
1490,0.13879
1491,0.12288
1492,0.11714
1493,0.12958
1494,0.08899
1495,0.05483
1496,0.17026
1497,0.17549
1498,0.13289
1499,0.16755
1500,0.15461
1501,0.15655
1502,0.18428
1503,0.14752
1504,0.163
1505,0.1032
1506,0.0962
1507,0.13626
1508,0.1517
1509,0.15944
1510,0.05755
1511,0.20232
1512,0.14395
1513,0.07014
