,Key_Word,Mean_Nasdaq_Change,Mean_Return,Variance_Nasdaq_Change,Variance_Return
75,investment,-6.32097304456,-0.0016562207151,35.3749405016,0.000186803861958
76,hedge,8.03175385773,-0.000383458074382,30.8087561018,9.00842631219e-05
77,hedge,-4.36677478253,-0.00238139515297,30.2096779503,0.000179090185483
78,hedge,12.6616460029,0.002593336932,42.5050070694,0.000798389932479
79,hedge,-14.2649886845,0.0140870877016,20.8515442562,0.000803753831494
80,marriage,-8.42681229001,0.0592300686414,73.1863863054,0.0446020290774
81,marriage,6.15280745022,-0.00332924151214,44.2570234982,0.00250232368641
82,marriage,-7.76124008347,0.000250128841926,36.1538239003,0.000135959244029
83,marriage,8.15931761743,-0.000541509187688,39.3621188426,6.32969693928e-05
84,bonds,6.65289793236,-0.00176947840968,16.5722821418,0.000146635061478
85,bonds,-14.40509384,0.00620481914282,13.6012425657,0.000531912934332
